#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 10 01 10 42   8  5.8  6.2 99.00 99.00 99.00 999 1012.0  19.6  20.9 999.0 99.0 99.00
2022 10 01 10 48  10  5.4  6.1 99.00 99.00 99.00 999 1012.1  19.6  21.0 999.0 99.0 99.00
2022 10 01 10 54  15  6.0  6.6 99.00 99.00 99.00 999 1012.2  19.6  20.9 999.0 99.0 99.00
2022 10 01 11 00  13  5.8  6.3 99.00 99.00 99.00 999 1012.3  19.5  21.0 999.0 99.0 99.00
2022 10 01 11 06  10  6.0  6.8 99.00 99.00 99.00 999 1012.3  19.5  21.0 999.0 99.0 99.00
2022 10 01 11 12  17  6.0  6.5 99.00 99.00 99.00 999 1012.4  19.4  20.9 999.0 99.0 99.00
2022 10 01 11 18  19  6.3  6.8 99.00 99.00 99.00 999 1012.5  19.4  21.1 999.0 99.0 99.00
2022 10 01 11 24  17  6.6  7.1 99.00 99.00 99.00 999 1012.6  19.3  21.0 999.0 99.0 99.00
2022 10 01 11 30  12  6.2  7.1 99.00 99.00 99.00 999 1012.7  19.3  21.0 999.0 99.0 99.00
2022 10 01 11 36  17  6.1  7.2 99.00 99.00 99.00 999 1012.8  19.2  21.0 999.0 99.0 99.00
2022 10 01 11 42  16  6.0  6.9 99.00 99.00 99.00 999 1012.9  19.2  21.0 999.0 99.0 99.00
2022 10 01 11 48  14  6.5  7.5 99.00 99.00 99.00 999 1012.9  19.1  21.0 999.0 99.0 99.00
2022 10 01 11 54  21  6.4  7.4 99.00 99.00 99.00 999 1013.0  19.1  21.0 999.0 99.0 99.00
2022 10 01 12 00  21  6.7  7.6 99.00 99.00 99.00 999 1013.1  19.1  21.0 999.0 99.0 99.00
2022 10 01 12 06  19  6.4  7.4 99.00 99.00 99.00 999 1013.1  19.1  20.9 999.0 99.0 99.00
2022 10 01 12 12  18  6.6  7.1 99.00 99.00 99.00 999 1013.2  19.1  20.9 999.0 99.0 99.00
2022 10 01 12 18  22  6.7  7.5 99.00 99.00 99.00 999 1013.3  19.2  20.9 999.0 99.0 99.00
2022 10 01 12 24  18  6.4  7.3 99.00 99.00 99.00 999 1013.3  19.2  20.9 999.0 99.0 99.00
2022 10 01 12 30  23  6.8  7.7 99.00 99.00 99.00 999 1013.4  19.2  20.9 999.0 99.0 99.00
2022 10 01 12 36  22  6.9  7.7 99.00 99.00 99.00 999 1013.4  19.2  20.9 999.0 99.0 99.00
2022 10 01 12 42  21  6.4  7.8 99.00 99.00 99.00 999 1013.4  19.2  20.9 999.0 99.0 99.00
2022 10 01 12 48  23  6.8  7.5 99.00 99.00 99.00 999 1013.5  19.1  20.9 999.0 99.0 99.00
2022 10 01 12 54  20  7.1  7.7 99.00 99.00 99.00 999 1013.6  19.0  20.9 999.0 99.0 99.00
2022 10 01 13 00  21  6.8  7.9 99.00 99.00 99.00 999 1013.7  19.1  20.9 999.0 99.0 99.00
2022 10 01 13 06  24  6.7  7.6 99.00 99.00 99.00 999 1013.7  19.0  20.9 999.0 99.0 99.00
2022 10 01 13 12  22  6.4  7.6 99.00 99.00 99.00 999 1013.8  19.0  20.9 999.0 99.0 99.00
2022 10 01 13 18  17  6.7  7.5 99.00 99.00 99.00 999 1013.8  18.9  20.9 999.0 99.0 99.00
2022 10 01 13 24  24  7.2  7.9 99.00 99.00 99.00 999 1013.8  18.9  20.7 999.0 99.0 99.00
2022 10 01 13 30  20  6.9  8.0 99.00 99.00 99.00 999 1013.9  18.9  20.9 999.0 99.0 99.00
2022 10 01 13 36  19  6.6  7.6 99.00 99.00 99.00 999 1013.9  18.9  20.8 999.0 99.0 99.00
2022 10 01 13 42  20  6.8  7.6 99.00 99.00 99.00 999 1013.9  18.8  20.9 999.0 99.0 99.00
2022 10 01 13 48  20  6.7  7.5 99.00 99.00 99.00 999 1014.0  18.9  20.8 999.0 99.0 99.00
2022 10 01 13 54  22  6.4  7.6 99.00 99.00 99.00 999 1014.0  19.1  20.8 999.0 99.0 99.00
2022 10 01 14 00  20  7.0  7.8 99.00 99.00 99.00 999 1014.0  18.9  20.9 999.0 99.0 99.00
2022 10 01 14 06  18  7.0  7.7 99.00 99.00 99.00 999 1014.1  18.8  20.8 999.0 99.0 99.00
2022 10 01 14 12  17  6.8  7.7 99.00 99.00 99.00 999 1014.1  18.9  20.8 999.0 99.0 99.00
2022 10 01 14 18  18  6.9  7.8 99.00 99.00 99.00 999 1014.2  18.9  20.8 999.0 99.0 99.00
2022 10 01 14 24  22  6.9  8.0 99.00 99.00 99.00 999 1014.2  19.1  20.8 999.0 99.0 99.00
2022 10 01 14 30  18  6.9  7.5 99.00 99.00 99.00 999 1014.3  19.0  20.9 999.0 99.0 99.00
2022 10 01 14 36  18  6.8  7.7 99.00 99.00 99.00 999 1014.4  19.0  20.8 999.0 99.0 99.00
2022 10 01 14 42  14  6.8  7.6 99.00 99.00 99.00 999 1014.4  19.0  20.9 999.0 99.0 99.00
2022 10 01 14 48  19  6.8  7.6 99.00 99.00 99.00 999 1014.5  19.1  20.9 999.0 99.0 99.00
2022 10 01 14 54  17  6.8  7.6 99.00 99.00 99.00 999 1014.5  19.0  20.9 999.0 99.0 99.00
2022 10 01 15 00  15  6.6  7.5 99.00 99.00 99.00 999 1014.6  19.1  21.0 999.0 99.0 99.00
2022 10 01 15 06  12  6.5  7.4 99.00 99.00 99.00 999 1014.6  19.2  20.9 999.0 99.0 99.00
2022 10 01 15 12  14  6.2  6.9 99.00 99.00 99.00 999 1014.6  19.2  20.9 999.0 99.0 99.00
2022 10 01 15 18  16  6.2  6.7 99.00 99.00 99.00 999 1014.6  19.3  20.9 999.0 99.0 99.00
2022 10 01 15 24  10  5.8  6.7 99.00 99.00 99.00 999 1014.6  19.3  21.0 999.0 99.0 99.00
2022 10 01 15 30  18  5.7  6.5 99.00 99.00 99.00 999 1014.7  19.5  21.0 999.0 99.0 99.00
2022 10 01 15 36  16  5.7  6.5 99.00 99.00 99.00 999 1014.7  19.5  21.0 999.0 99.0 99.00
2022 10 01 15 42  14  5.3  6.3 99.00 99.00 99.00 999 1014.7  19.6  21.0 999.0 99.0 99.00
2022 10 01 15 48  15  5.3  5.9 99.00 99.00 99.00 999 1014.7  19.7  21.1 999.0 99.0 99.00
2022 10 01 15 54  11  5.6  6.3 99.00 99.00 99.00 999 1014.6  19.6  21.1 999.0 99.0 99.00
2022 10 01 16 00  10  5.7  6.1 99.00 99.00 99.00 999 1014.6  19.8  21.1 999.0 99.0 99.00
2022 10 01 16 06   8  5.6  6.1 99.00 99.00 99.00 999 1014.6  19.9  21.1 999.0 99.0 99.00
2022 10 01 16 12  14  5.1  6.3 99.00 99.00 99.00 999 1014.6  20.1  21.2 999.0 99.0 99.00
2022 10 01 16 18  11  5.8  6.2 99.00 99.00 99.00 999 1014.6  20.2  21.2 999.0 99.0 99.00
2022 10 01 16 24  22  6.0  6.4 99.00 99.00 99.00 999 1014.5  20.5  21.2 999.0 99.0 99.00
2022 10 01 16 30  22  6.1  6.7 99.00 99.00 99.00 999 1014.4  20.8  21.3 999.0 99.0 99.00
2022 10 01 16 36  21  6.0  7.1 99.00 99.00 99.00 999 1014.3  21.0  21.3 999.0 99.0 99.00
2022 10 01 16 42  25  6.2  7.0 99.00 99.00 99.00 999 1014.2  21.2  21.3 999.0 99.0 99.00
2022 10 01 16 48  28  5.7  6.7 99.00 99.00 99.00 999 1014.1  21.3  21.4 999.0 99.0 99.00
2022 10 01 16 54  35  5.7  6.2 99.00 99.00 99.00 999 1014.0  21.5  21.4 999.0 99.0 99.00
2022 10 01 17 00  34  5.2  5.8 99.00 99.00 99.00 999 1013.9  21.5  21.5 999.0 99.0 99.00
2022 10 01 17 06  42  4.6  5.2 99.00 99.00 99.00 999 1013.8  21.5  21.5 999.0 99.0 99.00
2022 10 01 17 12  38  4.4  5.2 99.00 99.00 99.00 999 1013.8  21.6  21.6 999.0 99.0 99.00
2022 10 01 17 18  39  3.5  4.5 99.00 99.00 99.00 999 1013.8  21.7  21.6 999.0 99.0 99.00
2022 10 01 17 24  35  3.3  4.3 99.00 99.00 99.00 999 1013.8  21.9  21.6 999.0 99.0 99.00
2022 10 01 17 30  37  3.2  3.7 99.00 99.00 99.00 999 1013.8  22.0  21.6 999.0 99.0 99.00
2022 10 01 17 36  30  3.4  3.8 99.00 99.00 99.00 999 1013.7  22.0  21.7 999.0 99.0 99.00
2022 10 01 17 42  18  2.5  3.6 99.00 99.00 99.00 999 1013.7  22.0  21.7 999.0 99.0 99.00
2022 10 01 17 48  19  2.7  3.4 99.00 99.00 99.00 999 1013.6  22.1  21.7 999.0 99.0 99.00
2022 10 01 17 54  17  3.2  3.8 99.00 99.00 99.00 999 1013.6  22.1  21.7 999.0 99.0 99.00
2022 10 01 18 00  22  3.2  3.6 99.00 99.00 99.00 999 1013.5  22.2  21.7 999.0 99.0 99.00
2022 10 01 18 06  16  2.7  3.7 99.00 99.00 99.00 999 1013.5  22.2  21.8 999.0 99.0 99.00
2022 10 01 18 12  18  2.5  3.0 99.00 99.00 99.00 999 1013.5  22.2  21.9 999.0 99.0 99.00
2022 10 01 18 18  16  2.3  2.9 99.00 99.00 99.00 999 1013.4  22.3  21.9 999.0 99.0 99.00
2022 10 01 18 24  12  2.5  2.7 99.00 99.00 99.00 999 1013.3  22.3  21.9 999.0 99.0 99.00
2022 10 01 18 30  21  2.8  3.0 99.00 99.00 99.00 999 1013.2  22.4  22.1 999.0 99.0 99.00
2022 10 01 18 36  24  3.1  3.2 99.00 99.00 99.00 999 1013.1  22.4  22.2 999.0 99.0 99.00
